Date,Drill,Athlete Identifier,Playing Position,Start Time,Duration,Participation,Distance Covered(m),Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,Max Speed,Avg Speed,Max HR,Avg HR,HR Exertion,Time in HR Zone 1,Time in HR Zone 2,Time in HR Zone 3,Time in HR Zone 4,Time in HR Zone 5,Time in HR Zone 6,Speed Exertion,Sprint Count,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,New Bodyload,Impacts Zone 1,Impacts Zone 2,Impacts Zone 3,Impacts Zone 4,Impacts Zone 5,Impacts Zone 6,Running Series,Running Imbalance,Running Imbalance Standard Deviation,Running Symmetry Footstrikes,Metabolic Load Time Zone 1,Metabolic Load Time Zone 2,Metabolic Load Time Zone 3,Metabolic Load Time Zone 4,Metabolic Load Time Zone 5,Metabolic Load (relative),Metabolic Power Average,High-Metabolic-Power Distance,Equivalent Distance,Metabolic Load Distance Zone 1,Metabolic Load Distance Zone 2,Metabolic Load Distance Zone 3,Metabolic Load Distance Zone 4,Metabolic Load Distance Zone 5,Metabolic Load (absolute),Repeat Sprints,Sprint Max Acceleration,Sprint Total Distance,Work Rate Effort Count,Work Rate Effort Duration,Work Rate Effort Distance
22/10/15,Passing Practice,P05,Wide Attacker,22/10/15 18:03,16.4,Full,1090.7,89.8,204,382.1,390.8,24,0,22.5,4,180,152.7,59.3,0.4,1.6,2.2,3.4,8.9,0,268,17,28,17,1,42,5,0,27.4,1104,311,73,2,1,0,4,0.3,1.6,50,4.7,2.3,0.9,0.4,0.1,5.9,6,318.3,1261.7,358.9,413.5,207.8,93.7,16.8,527.3,7,3.1,296.7,6,0.004167,600.8
22/10/15,Acceleration Runs,P05,Wide Attacker,22/10/15 18:21,3.7,Full,364.1,14.3,181.2,11.2,35.1,92.2,30.1,26.8,5.9,173,157,13.4,0,0,0.7,0.8,2.2,0,125.2,4,0,0,4,2,3,0,9.9,147,49,14,8,6,0,0,0,0,0,2.6,0.1,0.1,0.1,0.1,2.1,9.2,127.6,441.9,208.2,27.6,38.3,55,34.2,184.7,0,3.8,137.6,2,0.001389,221.5
22/10/15,Combination Play,P05,Wide Attacker,22/10/15 18:28,26.5,Full,1007.4,119.1,445.1,257.9,154.1,31.2,0,21.9,2.3,189,138.1,70,0,4.7,12.9,2.3,4.2,2.4,143,15,24,12,3,29,11,3,16.7,662,152,36,8,1,0,0,0,0,0,8.2,1.2,0.6,0.2,0.1,5.2,3.3,196.4,1128.7,620.2,190.8,119,51.2,26.2,471.7,7,3.5,173.9,5,0.003472,542.6
22/10/15,11v11,P05,Wide Attacker,22/10/15 18:59,12.1,Full,1001.8,153,411.2,207.3,159,51.3,20,26.2,5,180,160.5,48.9,0,0,1.4,4,6.6,0.1,178.9,10,19,9,1,13,7,2,16.9,557,147,33,9,1,1,1,6.7,0,15,8.4,1,0.5,0.2,0.1,5,6.9,209,1082,610.6,181.3,122.8,68.5,17.8,452.2,2,3.1,135.4,3,0.002083,307.3
22/10/15,Warm Up,P06,Midfielder,22/10/15 17:54,3.9,Full,516.7,11.2,22.7,482.1,0.7,0,0,12.3,8,0,0,0,0,0,0,0,0,0,80.7,0,0,0,0,1,0,0,6.1,968,14,0,0,0,0,0,0,0,0,0.7,2.6,0,0,0,2.3,10,0,504.3,44.5,471.8,0,0,0,210.8,0,0,0,3,0.002083,456.3
22/10/15,Passing Practice,P06,Midfielder,22/10/15 18:03,16.4,Full,1216,85.7,252.5,474.6,376,27.2,0,21.5,4.4,197,121.2,37.4,2.8,2.5,1.7,2.4,3,0.9,280.4,19,45,17,2,63,6,0,25.6,1483,281,28,4,0,0,7,-0.7,3.1,96,5,2.8,0.9,0.3,0.1,6.4,6.6,308.7,1388.2,390.3,513.5,198.9,87.2,22.5,580.2,9,3.4,268.2,7,0.004861,701.7
22/10/15,Acceleration Runs,P06,Midfielder,22/10/15 18:21,3.7,Full,364.3,13.9,184.1,12,36,81.2,37.2,26.5,5.9,199,111.9,8.1,0.7,0.7,0.3,0.2,0.3,0.4,130,4,0,2,2,0,3,1,6.4,159,44,22,3,0,0,0,0,0,0,2.3,0.1,0.1,0.2,0.1,2,8.9,131.6,428.1,203,27.8,25.4,71.1,35.1,178.9,0,3.4,140.3,2,0.001389,211.8
22/10/15,Combination Play,P06,Midfielder,22/10/15 18:28,26.5,Full,2072.5,190.4,761.8,710.6,369,40.8,0,23,4.7,203,120,54.7,2.4,5,4.8,4.4,3.4,1.2,336.4,25,83,23,2,73,18,12,39.8,2156,301,61,11,1,2,0,0,0,0,12.8,3.9,1.2,0.4,0.1,10.7,6.7,402.8,2305.6,1030.6,632.6,262.4,113.3,27,963.7,9,3.4,233.1,13,0.009028,1398.3
22/10/15,11v11,P06,Midfielder,22/10/15 18:59,12.1,Full,1359.1,62.1,407.5,547.4,307.4,34.8,0,22.1,6.7,195,128.3,30.6,1,1.2,1.6,3,2.3,0.8,269.3,15,46,15,0,28,17,8,22.4,1448,195,28,10,0,0,2,1.4,5.8,24,6,2.9,1.1,0.2,0,6.9,9.5,316.2,1477.7,534,505.8,246.2,54.6,15.4,617.6,7,2.9,155.6,9,0.00625,1140.5
22/10/15,Warm Up,P07,Midfielder,22/10/15 17:54,3.9,Full,522.8,3.5,23.4,491.2,4.7,0,0,12.4,8.1,77,71.5,0.1,0,0,0,0,0,0,86.4,0,1,0,0,2,1,0,14.9,565,281,1,0,0,0,0,0,0,0,0.5,2.6,0,0,0,2.4,10.2,1.4,510.7,48.9,470.5,1.4,0,0,213.5,0,0,0,3,0.002083,452.4
